121_50123456_lam tai man_85.5_80a.0_80.0_90.0
121_50223456_li tai man_61.0_190.5_60.0_55.5
121_50323456__90.0_30.0_50.0_79.5
121_5042356_ng tai man_62.75__65.5_48.5
121_50523456_lau tai man_58.0_62.4_86.55_70.0_12.0
121_50623456_chui tai man_31.0_64.5_46.0_29.5
121_50723456_lim tai man_86.45_60.0_88.5_89.5
121_50823456_pok tai man_53.0_35.50_75.5_49.5
121_50923456_kim tai man_58.25_80.0_36.0_56.5
121_50023456_tsang tai man_35.5_20.0_55.5_79.0
121_50023456_tsang tai man_35.5_20.0_55.5_79.0
121_50713456_lee tai man_26.45_30.0_35.5_30.5
121_50813456_po tai man_23.0_35.50_25.5_29.5
121_50913456_yim tai man_18.25_40.0_36.0_26.5
121_50013456_tse tai man_5.5_20.0_5.5_9.0
121_50999999_chan peter_80.00_80.00_60.0_80.5
123_50999999_chan peter_80.00_80.00_60.0_80.5
hafhdhjfsadh
122_51123456_lam tai man_70.0_60.0a_70.0
122_51223456__60.0_90.5_76.0
122_513256_wong tai man_34.5_30.0_46.0
122_51423456_ng tai man_a90.5_70.0_56.0
122_51523456_lau tai man_186.0_92.4_58.0
122_51623456_chui tai man_70.0_64.5_62.0
122_51723456_lim tai man_4.5_6.0_36.0
122_51723456_lim tai man_4.5_6.0_36.0
122_51823456_pok tai man_37.5_35.50_68.5
122_51923456_kim tai man_82.4_60.0_46.5
122_51023456_tsang tai man_15.0_20.0_26.0
122_50713456_lee tai man_86.45_80.0_85.5
122_50813456_po tai man_23.0_35.50_25.5
122_50913456_yim tai man_18.25_4.0_36.0
122_50013456_tse tai man_65.5_20.0_65.5
122_51999999_chan peter_80.00_80.00_80.0
123_51999999_chan peter_80.00_80.00_80.0
